label,text,cuisine,price_range
0,"First of all i'm not a big fan of buffet, i tried it because we got a $50 credit for staying here at Monte Carlo in Las Vegas and my friend wanted it so I gave it a chance. Decent taste and There wasn't enough variety of food, service wasn't that great either. so it still doesn't change my mind about buffet.",,
1,"Thanks Yelp. I was looking for the words to describe this place and Meh seems fitting.\n\nPlayboy club is located under Moon at the Palms. We got in for free thanks to the promoter hookup we got. First you can't take glassware from Moon down to Playboy. Security will take your glass and transfer the contents over to a plastic cocktail cup making you feel like you are a four year old when all of the big kids downstairs have real glassware.\n\nThere are a couple of tables here to gamble along with some video poker machines at the bar in the back of the club. The atmosphere here is relaxed and seems to cater to an older (40+) crowd. the bunnies here looked miserable, and complained about working. YOU ARE A PLAYBOY BUNNIE!! For the love of god TRY to be happy!\n\nI wouldn't come back here if I had to pay to get in, Playboy is rather small, though intimate. There is limited seating available here, and little to no dancing. Stick to here if you want to be able to hear your date and have a relaxing time. Go somewhere else if you are looking to party it up.",,
2,"Service was so-so. They were receiving a delivery so that might have to do with it. Food was hot and fresh, but we did not do AYCE. The shrimp tempura was good, but the zucchini was a bit oily.",,
2,"Stamoolis Brothers is one of the Strip District storefronts, specializing in Greek and Mediterranean imports.  They have a good selection of olives, a decent cheese selection, a variety of ready-made dips and spreads which are pretty tasty, and some harder-to-find specialty items like rose water, pomegranate molasses, different grinds of bulgur wheat, bulk fava beans, etc.  You can also get packaged bulk nuts, dried fruits, etc.  When I go in here, it's usually because I'm looking for feta cheese or Greek-style yogurt.\n\nThis place is pretty good.  A couple times I've had some problems getting yogurt here, since they have a tendency to keep the yogurt on the shelf until it's almost at its sell-by date, but on the other hand, they have the cheapest price on Fage yogurt that I've seen in town thus far.  My mom loves a lot of their dips and spreads, so I get snacks from here a lot when she's in town.  The one caution I have (besides the yogurt) is that they sell an inferior brand of canned tomatoes here, which gives off a very strong flavor of metal and ruins your meal.",,
0,"I want to give a 2 stars because the service staff was friendly and good as well as ambience was decent.  But we came here for food not to meet the staff.  Food was just really mediocre, not even hot.  The hashbrowns taste pre-cut and frozen.  The \""real maple syrup\"" is just a maple syrup blend.  I could make a lot better food myself.  We had pancakes, bacon, and the wolf pack.  All the prices were way too high with food that's more on par with denny's.  Would rather IHOP across the street.   Unfortunately it looks like another lackluster joint resides here (before nypd pizza).",,
2,"I don't understand all the hype around this place. Yes it was on TV, but so what? \n\nEach time I go I am disappointed by something. For example, the salmon is typically undercooked and lacking seasoning. I love salmon so I tried it a few times hoping it would improve, but it didn't. Last time, instead of salmon I ordered a grilled wedge salad. It was covered in oil which made it inedible. \n\nThey also almost always mess something up in our take out order. Usually it is something small like giving us regular fries instead of garlic fries, but hey, we pay extra for the garlic! It is frustrating.  \n\nIn my opinion, the food at the Coffee Shop next door is much better.",,
1,"Two stars for the sandwiches, negative three stars for them never answering their phone.",,
4,I take my kids here at least two times a week. The staff is sweet and topping selection is awesome! My daughter got the Captain Crunch yogurt and we could not believe how it tasted exactly like the cereal. We love to play with flavor combos every time.,,
1,"So I have been to Hickory Tavern many many times before. I am actually suprised I havent reviewed it until now. The view of the city is incredible and it is conveniently located in the Met, so we usually hit it before a Trader Joe's grocery shopping trip! \n\nUsually my husband and I get the Build Your Own Salads. 6 ingredients for $9. The oriental dressing is amazing and bacon and avocado on a salad is just A-mazing. In addition, I love that Hickory has Red Oak on tap. They have alot of local beers on draft and I love that about a restaurant.\n\nHowever, this review is more specifically directed to a situation we had today for lunch at HT. My husband and I decided to grab our typical BYO salads. I don't know what was going on but it took a long time to get our food. 25-30 minutes to get a salad is kinda crazy (I mean there wasnt even any cooked meat on it.....all raw ingredients!).Our waitress was super sweet though and came by saying that she had no idea why we hadn't gotten our food yet and that it should be there soon. We finally got our salads and dug in.....yummy dressing! However, about half way into the salad, my husband looks up and pulls out a piece of cardboard from his salad. It was about 2 inches by a half inch. Gross. We have both worked in the food industry and know that those boxes are dragged across the floor when being brought in. All I could picture is that nasty cardboard piece being spread across that whole (since the dressing was tossed into the salad). \n\nThe waitress was, once again, very sweet and didnt really know what to do and grabbed her manager. The manager came out and was talking about boxing up the salad to go. I am assuming she was talking about boxing up a new salad and not the one with the cardboard in it....I dont know. She also offered us a free brownie. Honestly, we didnt really want any other food at the time. They did comp his salad (which was very sweet, hence the 2 stars instead of 1) and charged me for mine. It was just kinda weird. I mean she did apologize but it just came across like it wasnt a big deal. \n\nKinda frustrating that we had this happen cause we LOVED going to Hickory Tavern in the past! I'm not sure if we will be back soon, simply cause I keep picturing that nasty piece of cardboard. Plus, there are so many other places to eat in the Met!",,
0,"On 28 June 2013 I checked into the Riviera Hotel and casino until 5 July 2013. After being placed in a downgraded room because my room wasn't available I got settled into room 3533. \nOn 30 June 2013 I went to turn on the floor lamp inside the room and I got a very powerful electric shock. My right hand and arm has very little feeling other than tingling now. I reported the incident immediately to the front desk. A security guard came up to my room and I filed an incident report. She assured me that Risk Management would call me. She took the lamp and told me maintenance would replace the lamp. The lamp wasn't replaced. After going to the ER I was diagnosed with Electric Shock Injury and was told feeling may never come back. I tried calling risk management every day. Finally after 2 days I went to the front desk and demanded to speak to someone regarding my injury. The manager, Debbie, came up and offered to refund my resort fees totaling $115.00 to make up for me losing the feeling in my arm by their faulty equipment in the room. They then upgraded me to the room I was supposed to have the whole time since I paid for an upgraded room. On 4 July 2013 housekeeping came to the room around 11 am. I told her I didn't need housekeeping and she said \""ok\"" and walked away. We left the room around 1:00 and returned around 2:30pm. Upon returning to the room none of the 4 keys we had worked. I went down to the front desk and they gave me 4 more keys. I went back to my room and those keys didn't work. I went back down but this time to the bell desk. I explained what happened and how I already got 4 new keys. He said he'd help and he followed me to my room. His key didn't work. He said something had to be wrong with the lock or mechanism so he left and went to engineering. 30 minutes later 2 security guards (1 male in a black suit and the female security who originally took my injury report) arrived at my room. They told me I was locked out of my room because housekeeping came in to clean and saw my BB gun I had in my room. He told me firearms aren't allowed in the building. I had kept my BB gun in my safe which I kept locked. I told the security how I had told housekeeping I didn't need service earlier. I also told him how my BB gun, which isn't a firearm because it does not use combustion to fire a projectile instead uses air, was locked in my safe and asked how the maid saw my gun and also why was she coming back after I told her I didn't want her in my room. He then told me I was to leave the premises and was banned or \""86'd\"". It took security an additional 30 minutes to get into my room because the door wasn't unlocking. The security guard kept trying to egg me on and asking \""Do you have a chip on your shoulder?\"" \""Are you mad?\"" \""Why are you mad?\"" He had to be asked to leave by the other security guards because he wouldn't stop egging me on. Once inside I saw my safe had been pried open, my BB gun was sitting on top of the safe and the do not disturb sign that was on the door was sitting next to the safe. All the money I had in the safe was taken. I requested to file a report and I was told Risk Management would call me Monday. They never called. They didn't refund me for my extra night stay. I filed a police report with Las Vegas Metro Police. I will never stay at the Riviera. I will never recommend anyone, not even my worst enemy to stay at the Riviera Hotel and Casino Las Vegas!!\n\nAttached is a video taken while security tried to fix the door the broke.https://www.facebook.com/photo.php?v=10151779810399913&l=1311073713539322341",,
