label,text,cuisine,price_range
0,"First of all i'm not a big fan of buffet, i tried it because we got a $50 credit for staying here at Monte Carlo in Las Vegas and my friend wanted it so I gave it a chance. Decent taste and There wasn't enough variety of food, service wasn't that great either. so it still doesn't change my mind about buffet.",Unknown,1.0
2,"Stamoolis Brothers is one of the Strip District storefronts, specializing in Greek and Mediterranean imports.  They have a good selection of olives, a decent cheese selection, a variety of ready-made dips and spreads which are pretty tasty, and some harder-to-find specialty items like rose water, pomegranate molasses, different grinds of bulgur wheat, bulk fava beans, etc.  You can also get packaged bulk nuts, dried fruits, etc.  When I go in here, it's usually because I'm looking for feta cheese or Greek-style yogurt.\n\nThis place is pretty good.  A couple times I've had some problems getting yogurt here, since they have a tendency to keep the yogurt on the shelf until it's almost at its sell-by date, but on the other hand, they have the cheapest price on Fage yogurt that I've seen in town thus far.  My mom loves a lot of their dips and spreads, so I get snacks from here a lot when she's in town.  The one caution I have (besides the yogurt) is that they sell an inferior brand of canned tomatoes here, which gives off a very strong flavor of metal and ruins your meal.",Greek,1.0
1,"So I have been to Hickory Tavern many many times before. I am actually suprised I havent reviewed it until now. The view of the city is incredible and it is conveniently located in the Met, so we usually hit it before a Trader Joe's grocery shopping trip! \n\nUsually my husband and I get the Build Your Own Salads. 6 ingredients for $9. The oriental dressing is amazing and bacon and avocado on a salad is just A-mazing. In addition, I love that Hickory has Red Oak on tap. They have alot of local beers on draft and I love that about a restaurant.\n\nHowever, this review is more specifically directed to a situation we had today for lunch at HT. My husband and I decided to grab our typical BYO salads. I don't know what was going on but it took a long time to get our food. 25-30 minutes to get a salad is kinda crazy (I mean there wasnt even any cooked meat on it.....all raw ingredients!).Our waitress was super sweet though and came by saying that she had no idea why we hadn't gotten our food yet and that it should be there soon. We finally got our salads and dug in.....yummy dressing! However, about half way into the salad, my husband looks up and pulls out a piece of cardboard from his salad. It was about 2 inches by a half inch. Gross. We have both worked in the food industry and know that those boxes are dragged across the floor when being brought in. All I could picture is that nasty cardboard piece being spread across that whole (since the dressing was tossed into the salad). \n\nThe waitress was, once again, very sweet and didnt really know what to do and grabbed her manager. The manager came out and was talking about boxing up the salad to go. I am assuming she was talking about boxing up a new salad and not the one with the cardboard in it....I dont know. She also offered us a free brownie. Honestly, we didnt really want any other food at the time. They did comp his salad (which was very sweet, hence the 2 stars instead of 1) and charged me for mine. It was just kinda weird. I mean she did apologize but it just came across like it wasnt a big deal. \n\nKinda frustrating that we had this happen cause we LOVED going to Hickory Tavern in the past! I'm not sure if we will be back soon, simply cause I keep picturing that nasty piece of cardboard. Plus, there are so many other places to eat in the Met!",Unknown,1.0
0,"On 28 June 2013 I checked into the Riviera Hotel and casino until 5 July 2013. After being placed in a downgraded room because my room wasn't available I got settled into room 3533. \nOn 30 June 2013 I went to turn on the floor lamp inside the room and I got a very powerful electric shock. My right hand and arm has very little feeling other than tingling now. I reported the incident immediately to the front desk. A security guard came up to my room and I filed an incident report. She assured me that Risk Management would call me. She took the lamp and told me maintenance would replace the lamp. The lamp wasn't replaced. After going to the ER I was diagnosed with Electric Shock Injury and was told feeling may never come back. I tried calling risk management every day. Finally after 2 days I went to the front desk and demanded to speak to someone regarding my injury. The manager, Debbie, came up and offered to refund my resort fees totaling $115.00 to make up for me losing the feeling in my arm by their faulty equipment in the room. They then upgraded me to the room I was supposed to have the whole time since I paid for an upgraded room. On 4 July 2013 housekeeping came to the room around 11 am. I told her I didn't need housekeeping and she said \""ok\"" and walked away. We left the room around 1:00 and returned around 2:30pm. Upon returning to the room none of the 4 keys we had worked. I went down to the front desk and they gave me 4 more keys. I went back to my room and those keys didn't work. I went back down but this time to the bell desk. I explained what happened and how I already got 4 new keys. He said he'd help and he followed me to my room. His key didn't work. He said something had to be wrong with the lock or mechanism so he left and went to engineering. 30 minutes later 2 security guards (1 male in a black suit and the female security who originally took my injury report) arrived at my room. They told me I was locked out of my room because housekeeping came in to clean and saw my BB gun I had in my room. He told me firearms aren't allowed in the building. I had kept my BB gun in my safe which I kept locked. I told the security how I had told housekeeping I didn't need service earlier. I also told him how my BB gun, which isn't a firearm because it does not use combustion to fire a projectile instead uses air, was locked in my safe and asked how the maid saw my gun and also why was she coming back after I told her I didn't want her in my room. He then told me I was to leave the premises and was banned or \""86'd\"". It took security an additional 30 minutes to get into my room because the door wasn't unlocking. The security guard kept trying to egg me on and asking \""Do you have a chip on your shoulder?\"" \""Are you mad?\"" \""Why are you mad?\"" He had to be asked to leave by the other security guards because he wouldn't stop egging me on. Once inside I saw my safe had been pried open, my BB gun was sitting on top of the safe and the do not disturb sign that was on the door was sitting next to the safe. All the money I had in the safe was taken. I requested to file a report and I was told Risk Management would call me Monday. They never called. They didn't refund me for my extra night stay. I filed a police report with Las Vegas Metro Police. I will never stay at the Riviera. I will never recommend anyone, not even my worst enemy to stay at the Riviera Hotel and Casino Las Vegas!!\n\nAttached is a video taken while security tried to fix the door the broke.https://www.facebook.com/photo.php?v=10151779810399913&l=1311073713539322341",Unknown,1.0
2,"Happy hour is great here at this restaurant....However you can tell they are part of a big chain working to cut costs where they can.....We tried dinner there last night....The Filet was very dry for med rare ....I have had better on my own grill purchased from a local grocery.....The shrimp cocktail is supposed to be huge shrimp as an appetizer for $17.00 and these were quite small, .the kind you would find commonly anywhere. with no flavor...The single loaf of bread was cold and the outside of it was not crispy....The butter options were good though....My other half enjoyed the salmon and it was cooked perfectly...Overall for the price of dinner, I would not go back....HOWEVER I would do happy hour there again.....The happy hour menu is good and the prices are great.... I DO WANT TO SAY THE STAFF AND MANAGEMENT ARE IMPECCABLE....TRAINED WELL AND GO OUT OF THEIR WAY TO INSURE YOUR EXPERIENCE IS THE BEST IT CAN BE.....",Unknown,1.0
0,"Almost $10 for a \""meh\"" sandwich and tiny cup of iced tea (that came out of a jug....I saw them refill the \""tea\"" machine).  I appreciate the effort to have something healthy and organic in a mall food court, but for the price and lack of flavor I'll just go somewhere else.",Unknown,1.0
2,"Established in 1958, Los Compadres has been offering Phoenix classic Mexican food at great prices for over 50 years.  Here you will find the Mexican food standards tacos, nachos, enchiladas, tamales, burros etc. made fresh to order.  In addition, they have egg specialties, salads, charbroiled chicken, and their something different selections...  They have 10 combos that include 2-3 items each for under $8 and lighter combos for under $5.  Los Compadres is a excellent alternative to the fast food chains claiming to serve Mexican food.  Catering services and party trays are also available.  Their hours are Monday through Saturday 10:30am to 9pm and Sundays 10:30am to 7:30pm.",Mexican,1.0
1,"First, I came here with a coupon from one of those entertainment books my daughter's school sells.  Many items were excluded including the lunch specials and the menudo.  Apparently, to be truly Mexican you have to enjoy eating a cow's stomach in soup -- menudo.  So Eli M. and I vowed to return one day.  Ah, yes, I am not even a little Mexican, but suffer from a proclivity to try unusual foods others turn up their noses at.  Enter Groupon.\n\nHaving purchased a Groupon that excluded the lunch specials, but not the menudo, Eli M. and I, with some friends in tow, made our return.  I told Eli M. that menudo costing less than $7 seemed a little dubious given the extensive perpetuation process he described, but we didn't let a little thing like that deter us. As the menudo was cheaply priced, I also ordered a chorizo burrito a la carte.  I was trying to max out the Groupon, and soup, regardless of the contents, didn't seem that filling.  Eli M. doesn't eat much and was satisfied with just a medium sized bowl of menudo. In terms of taste however, he said that it was okay.  He said it was too greasy, which is what our friends also said of their food.  Moreover, they have Pepsi instead of Coke.  And the location is a bit out off the quick lunch radius.  So, it looks like Eli M. and I will max out at two visits to Susie's.  Thanks for the menudo.",Mexican,1.0
1,"The menu displayed on urban spoon must be very old. The prizes are higher, than we researched before. Staff is friendly. The soups must be based on an instant brew. I ordered a wantang soup and it was terrible. I could taste the chemical taste of the instant brew. It was very bland.  Knowing how good a lotus stem salad usually tastes, I ordered one. Again, I felt like I wasted 10$. The sauce was terribly bland, too sweet and too sour at the same time. Also, they used way too much celery. I was very disappointed and felt like I wasted my time and money. I felt this place was WAAAY to over-prized for what they offer. And I didn't feel that it tasted authentic or refreshing like Vietnamese food usually tastes.  The menu was just the same as in Lang Van. I did see Asian people in the restaurant. So, it must be somewhat decent. The food doesn't have a \""restaurant feel\"", but more an \""American-Asian fast food feel\"".They should restructure the portions and prizing.   I will never return.",American,1.0
0,"This review is based on the fact that it's in Vegas.  My group wanted to go here for lunch.  They wanted a light lunch before the buffet we were planning to have later that day.  So Sonics was agreed upon (with them.)\n\nI was hesitant to go to a Sonics when we were at Vegas.  We could get this anywhere, anytime, so why now?  But I agreed, we needed a light lunch and why not have it cheap while at it.\n\nUnfortunately, it wasn't too cheap.  You can't just get one of their $1 burgers cuz they're tiny and you'll still be starving afterwards.  So I got the large chili cheese fries to split also.\n\nThe burgers... sucked.  Even for a dollar, they sucked.  Badly.  The chili cheese fries... WAYYYYYYYYYYYYYY overly salty.  Like, I was tempted to drench it in ketchup to dilute the salt.  Horrible.  Don't go to Vegas for fast food, if you do, don't go here.  There's an In N Out a few miles away...",American,1.0
